DiaDaSemana,Região,TurnoDoDia,Crime,Arma,IncidênciaDeFavelas,Ilumicacao,PericiaInvestigacao
Útil,Norte,Manhã,Estupro,ArmaBranca,Alta,TRUE,não
Útil,Oeste,Manhã,Homicídio,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Centro,Madrugada,Assalto,Agressão,Baixa,TRUE,não
FinalDeSemana,Sul,Madrugada,Assalto,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Leste,Tarde,Estupro,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Centro,Tarde,Agressão,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Leste,Manhã,TráficoDeDrogas,Agressão,Baixa,TRUE,sim
Útil,Sul,Madrugada,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Oeste,Madrugada,Roubo,ArmaBranca,Média,FALSE,sim
Útil,Norte,Manhã,Agressão,ArmaDeFogo,Média,FALSE,sim
Útil,Sul,Manhã,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Norte,Madrugada,Roubo,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Norte,Madrugada,Roubo,Agressão,Alta,TRUE,sim
Útil,Sul,Tarde,Assalto,Agressão,Média,TRUE,sim
Útil,Sul,Madrugada,Assalto,ArmaDeFogo,Baixa,FALSE,sim
Útil,Sul,Tarde,Roubo,ArmaBranca,Alta,FALSE,sim
FinalDeSemana,Oeste,Manhã,Agressão,ArmaBranca,Média,TRUE,não
Útil,Norte,Madrugada,Roubo,ArmaDeFogo,Alta,FALSE,sim
Útil,Norte,Noite,Estupro,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Centro,Manhã,Agressão,Agressão,Alta,TRUE,sim
Útil,Norte,Tarde,Homicídio,ArmaDeFogo,Baixa,FALSE,não
FinalDeSemana,Centro,Manhã,Estupro,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Centro,Manhã,Roubo,Agressão,Média,TRUE,não
FinalDeSemana,Norte,Noite,Estupro,Agressão,Média,TRUE,sim
Útil,Sul,Noite,Roubo,Agressão,Média,FALSE,sim
FinalDeSemana,Leste,Tarde,Assalto,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Centro,Manhã,TráficoDeDrogas,Agressão,Média,FALSE,não
FinalDeSemana,Norte,Noite,Homicídio,ArmaBranca,Média,TRUE,sim
Útil,Sul,Tarde,Roubo,Agressão,Alta,FALSE,não
FinalDeSemana,Centro,Manhã,Assalto,Agressão,Baixa,FALSE,sim
FinalDeSemana,Centro,Manhã,Assalto,ArmaBranca,Baixa,TRUE,sim
Útil,Leste,Manhã,Agressão,Agressão,Baixa,FALSE,não
FinalDeSemana,Leste,Noite,Homicídio,ArmaBranca,Baixa,TRUE,sim
FinalDeSemana,Norte,Madrugada,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,não
Útil,Leste,Manhã,Estupro,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Leste,Tarde,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Sul,Tarde,TráficoDeDrogas,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Norte,Tarde,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Centro,Madrugada,Agressão,ArmaBranca,Baixa,FALSE,não
FinalDeSemana,Sul,Madrugada,Agressão,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Norte,Madrugada,Assalto,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,Assalto,Agressão,Média,FALSE,não
FinalDeSemana,Leste,Noite,Homicídio,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Leste,Noite,Assalto,ArmaBranca,Baixa,FALSE,não
FinalDeSemana,Sul,Tarde,Homicídio,ArmaBranca,Alta,TRUE,não
Útil,Sul,Tarde,Roubo,Agressão,Baixa,FALSE,não
FinalDeSemana,Centro,Tarde,Homicídio,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Norte,Tarde,Agressão,Agressão,Média,TRUE,não
FinalDeSemana,Oeste,Tarde,Homicídio,Agressão,Média,FALSE,sim
Útil,Norte,Tarde,Agressão,Agressão,Alta,TRUE,não
FinalDeSemana,Norte,Noite,Agressão,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Leste,Noite,Roubo,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Leste,Noite,Assalto,ArmaDeFogo,Baixa,TRUE,sim
Útil,Leste,Noite,Agressão,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Oeste,Tarde,Agressão,ArmaBranca,Média,TRUE,não
Útil,Sul,Tarde,Homicídio,ArmaBranca,Média,TRUE,não
Útil,Centro,Manhã,Roubo,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Oeste,Tarde,Estupro,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Leste,Madrugada,Agressão,ArmaBranca,Baixa,FALSE,não
Útil,Leste,Tarde,Roubo,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Manhã,Agressão,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Centro,Tarde,TráficoDeDrogas,ArmaDeFogo,Alta,FALSE,não
FinalDeSemana,Oeste,Manhã,Assalto,ArmaBranca,Média,FALSE,não
Útil,Centro,Manhã,Agressão,ArmaBranca,Alta,FALSE,sim
Útil,Oeste,Madrugada,Roubo,ArmaDeFogo,Alta,FALSE,sim
Útil,Norte,Tarde,Roubo,Agressão,Alta,FALSE,não
Útil,Centro,Tarde,Assalto,ArmaDeFogo,Alta,TRUE,sim
Útil,Leste,Noite,Estupro,ArmaDeFogo,Média,TRUE,sim
Útil,Sul,Manhã,Assalto,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Sul,Noite,Estupro,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Sul,Tarde,TráficoDeDrogas,ArmaDeFogo,Baixa,TRUE,sim
Útil,Sul,Tarde,Homicídio,ArmaDeFogo,Baixa,FALSE,não
Útil,Centro,Madrugada,Estupro,ArmaDeFogo,Média,FALSE,sim
Útil,Norte,Madrugada,Roubo,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Sul,Tarde,Agressão,Agressão,Média,TRUE,não
Útil,Leste,Manhã,TráficoDeDrogas,Agressão,Alta,FALSE,não
FinalDeSemana,Centro,Noite,Estupro,Agressão,Baixa,FALSE,não
FinalDeSemana,Oeste,Tarde,Assalto,ArmaBranca,Baixa,FALSE,sim
Útil,Leste,Tarde,Homicídio,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Centro,Manhã,Roubo,ArmaDeFogo,Alta,FALSE,não
FinalDeSemana,Sul,Manhã,TráficoDeDrogas,Agressão,Baixa,TRUE,não
FinalDeSemana,Oeste,Noite,Estupro,ArmaBranca,Baixa,FALSE,sim
Útil,Oeste,Tarde,Assalto,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Oeste,Tarde,Agressão,Agressão,Média,TRUE,não
Útil,Leste,Manhã,Estupro,ArmaDeFogo,Média,FALSE,não
Útil,Sul,Noite,TráficoDeDrogas,ArmaDeFogo,Média,TRUE,não
Útil,Centro,Tarde,Assalto,ArmaDeFogo,Baixa,TRUE,não
Útil,Sul,Tarde,Estupro,Agressão,Média,FALSE,não
Útil,Sul,Noite,Assalto,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Sul,Tarde,Assalto,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Madrugada,Homicídio,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Oeste,Madrugada,Homicídio,Agressão,Baixa,FALSE,não
Útil,Oeste,Manhã,Agressão,Agressão,Baixa,FALSE,não
Útil,Oeste,Madrugada,Homicídio,Agressão,Alta,TRUE,sim
FinalDeSemana,Centro,Manhã,Estupro,Agressão,Baixa,FALSE,não
Útil,Sul,Noite,Homicídio,Agressão,Alta,TRUE,não
FinalDeSemana,Norte,Noite,Roubo,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Leste,Madrugada,Estupro,Agressão,Alta,FALSE,sim
FinalDeSemana,Leste,Manhã,Assalto,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Leste,Manhã,Assalto,Agressão,Baixa,FALSE,não
Útil,Leste,Noite,Assalto,Agressão,Baixa,TRUE,não
Útil,Norte,Tarde,TráficoDeDrogas,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Sul,Noite,Roubo,ArmaDeFogo,Alta,FALSE,não
Útil,Oeste,Noite,Assalto,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Norte,Tarde,Assalto,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Sul,Manhã,Roubo,Agressão,Média,TRUE,sim
FinalDeSemana,Oeste,Noite,Estupro,Agressão,Alta,TRUE,sim
Útil,Centro,Tarde,Homicídio,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Centro,Manhã,Assalto,ArmaBranca,Alta,FALSE,sim
FinalDeSemana,Oeste,Manhã,Homicídio,Agressão,Média,TRUE,sim
Útil,Oeste,Madrugada,Estupro,ArmaDeFogo,Baixa,FALSE,não
Útil,Norte,Madrugada,Estupro,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Leste,Tarde,Agressão,Agressão,Média,FALSE,sim
Útil,Sul,Manhã,Estupro,ArmaBranca,Alta,TRUE,não
Útil,Leste,Tarde,Assalto,ArmaDeFogo,Média,FALSE,não
Útil,Centro,Manhã,TráficoDeDrogas,ArmaDeFogo,Baixa,FALSE,não
Útil,Leste,Tarde,Estupro,ArmaDeFogo,Baixa,FALSE,não
FinalDeSemana,Leste,Madrugada,TráficoDeDrogas,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,Roubo,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Centro,Noite,Roubo,Agressão,Alta,FALSE,não
FinalDeSemana,Centro,Noite,Roubo,Agressão,Alta,FALSE,sim
Útil,Oeste,Manhã,Roubo,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Leste,Manhã,Roubo,Agressão,Alta,TRUE,não
FinalDeSemana,Centro,Noite,TráficoDeDrogas,Agressão,Alta,TRUE,sim
FinalDeSemana,Sul,Manhã,Roubo,Agressão,Média,TRUE,não
FinalDeSemana,Centro,Madrugada,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,não
Útil,Leste,Tarde,Agressão,Agressão,Alta,FALSE,não
FinalDeSemana,Oeste,Manhã,Roubo,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Leste,Manhã,Assalto,ArmaBranca,Média,TRUE,não
FinalDeSemana,Oeste,Noite,Estupro,ArmaBranca,Alta,TRUE,sim
Útil,Leste,Manhã,Estupro,ArmaDeFogo,Alta,TRUE,não
Útil,Oeste,Tarde,TráficoDeDrogas,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Madrugada,Assalto,Agressão,Alta,TRUE,não
Útil,Oeste,Manhã,Homicídio,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Norte,Noite,Homicídio,ArmaBranca,Média,FALSE,não
Útil,Centro,Manhã,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Sul,Noite,Assalto,Agressão,Média,FALSE,sim
Útil,Centro,Noite,Roubo,ArmaDeFogo,Baixa,FALSE,sim
Útil,Centro,Manhã,TráficoDeDrogas,ArmaBranca,Baixa,TRUE,sim
Útil,Centro,Noite,Roubo,ArmaDeFogo,Média,FALSE,não
Útil,Norte,Tarde,Agressão,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Norte,Madrugada,Assalto,ArmaBranca,Baixa,FALSE,sim
Útil,Sul,Manhã,Estupro,ArmaBranca,Média,TRUE,não
Útil,Norte,Manhã,TráficoDeDrogas,Agressão,Alta,FALSE,não
Útil,Sul,Manhã,TráficoDeDrogas,Agressão,Alta,FALSE,sim
Útil,Centro,Tarde,Assalto,ArmaBranca,Alta,FALSE,sim
Útil,Centro,Madrugada,Assalto,ArmaDeFogo,Alta,TRUE,sim
Útil,Oeste,Madrugada,Estupro,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Sul,Tarde,Assalto,Agressão,Alta,FALSE,não
Útil,Sul,Manhã,TráficoDeDrogas,Agressão,Baixa,FALSE,não
FinalDeSemana,Sul,Noite,Agressão,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Norte,Tarde,Roubo,ArmaDeFogo,Média,FALSE,sim
Útil,Leste,Manhã,Homicídio,ArmaDeFogo,Baixa,TRUE,sim
Útil,Oeste,Noite,Agressão,Agressão,Alta,FALSE,não
FinalDeSemana,Leste,Tarde,Agressão,Agressão,Alta,TRUE,sim
Útil,Centro,Madrugada,Roubo,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Norte,Manhã,Roubo,ArmaBranca,Média,FALSE,não
FinalDeSemana,Norte,Manhã,TráficoDeDrogas,Agressão,Baixa,TRUE,não
FinalDeSemana,Centro,Manhã,TráficoDeDrogas,ArmaBranca,Média,TRUE,sim
FinalDeSemana,Centro,Madrugada,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Oeste,Madrugada,Assalto,ArmaDeFogo,Alta,FALSE,não
Útil,Centro,Tarde,TráficoDeDrogas,ArmaBranca,Baixa,TRUE,sim
FinalDeSemana,Oeste,Tarde,Assalto,Agressão,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,Homicídio,ArmaBranca,Alta,TRUE,sim
Útil,Leste,Madrugada,Roubo,Agressão,Média,TRUE,não
